external_id,source,title,source_url,content_type,duration_minutes,description,skills,prerequisites,difficulty,is_free,language
DLAI-PROMPT-ENG-DEVS,DeepLearning.AI,ChatGPT Prompt Engineering for Developers,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,course,90,Best practices and patterns for prompt engineering with the OpenAI API. Co-taught by Andrew Ng and Isa Fulford.,"prompt-engineering,llm-basics,openai-api","python",beginner,true,en
DLAI-LANGCHAIN-LLM-DEV,DeepLearning.AI,LangChain for LLM Application Development,https://www.deeplearning.ai/short-courses/langchain-for-llm-application-development/,course,90,Build chatbots and applications with LangChain. Memory chains agents and document Q&A patterns.,"langchain,llm-applications,chains,memory","python,llm-basics",beginner,true,en
DLAI-FUNCTIONS-TOOLS-AGENTS,DeepLearning.AI,"Functions, Tools and Agents with LangChain",https://www.deeplearning.ai/short-courses/functions-tools-agents-langchain/,course,90,Function calling fundamentals; build agents that decide when to call APIs.,"function-calling,tool-use,agents,langchain","python,llm-basics",intermediate,true,en
DLAI-AGENTIC-AI,DeepLearning.AI,Agentic AI by Andrew Ng,https://www.deeplearning.ai/short-courses/agentic-ai/,course,300,The four agentic design patterns (reflection tool use planning multi-agent) explained from first principles in Python.,"agents,reflection,tool-use,planning,multi-agent","python,llm-basics",intermediate,true,en
DLAI-RAG-ADVANCED,DeepLearning.AI,Building and Evaluating Advanced RAG,https://www.deeplearning.ai/short-courses/building-evaluating-advanced-rag/,course,90,Sentence-window retrieval auto-merging retrieval and RAG triad evaluation. Hands-on with LlamaIndex.,"rag,evaluation,retrieval,llamaindex","python,llm-basics",intermediate,true,en
DLAI-LANGGRAPH,DeepLearning.AI,AI Agents in LangGraph,https://www.deeplearning.ai/short-courses/ai-agents-in-langgraph/,course,180,Build a ReAct agent from scratch then rebuild it in LangGraph. Persistence human-in-the-loop and agentic search. Taught by Harrison Chase and Rotem Weiss.,"langgraph,react-agents,persistence,human-in-the-loop","python,langchain,llm-basics",intermediate,true,en
DLAI-MULTI-AGENT-CREWAI,DeepLearning.AI,Multi-AI Agent Systems with crewAI,https://www.deeplearning.ai/short-courses/multi-ai-agent-systems-with-crewai/,course,120,Role-based agent teams. Build multi-agent systems with CrewAI.,"crewai,multi-agent,role-based","python,llm-basics",intermediate,true,en
DLAI-AUTOGEN,DeepLearning.AI,AI Agentic Design Patterns with AutoGen,https://www.deeplearning.ai/short-courses/ai-agentic-design-patterns-with-autogen/,course,120,Microsoft's conversational multi-agent framework. Build chat-driven multi-agent systems.,"autogen,multi-agent,microsoft","python,llm-basics",intermediate,true,en
DLAI-MCP-ANTHROPIC,DeepLearning.AI,MCP: Build Rich-Context AI Apps with Anthropic,https://www.deeplearning.ai/short-courses/mcp-build-rich-context-ai-apps-with-anthropic/,course,120,Model Context Protocol — the emerging standard for agent-tool integration. Hands-on with FastMCP.,"mcp,agents,tool-integration,anthropic","python,agents-basics",intermediate,true,en
DLAI-A2A,DeepLearning.AI,A2A: The Agent2Agent Protocol,https://www.deeplearning.ai/short-courses/a2a-the-agent2agent-protocol/,course,120,Standard for inter-agent communication; donated to the Linux Foundation. Partnered with Google Cloud and IBM.,"a2a,multi-agent,protocols","agents-basics,python",intermediate,true,en
DLAI-AGENT-SKILLS-ANTHROPIC,DeepLearning.AI,Agent Skills with Anthropic,https://www.deeplearning.ai/short-courses/agent-skills-anthropic/,course,90,Packaging agent capabilities as reusable skills.,"anthropic,agent-skills,reusable-components","python,agents-basics",intermediate,true,en
NVIDIA-DLI-RAG-AGENTS,NVIDIA DLI,Building RAG Agents with LLMs,https://learn.nvidia.com/courses/course-detail?course_id=course-v1:DLI+S-FX-15+V1,course,480,Hands-on with LangChain and a vector DB. Free self-paced course with certificate. One of the best free deep dives on RAG.,"rag,langchain,vector-stores,embeddings,nvidia","python,llm-basics",intermediate,true,en
NVIDIA-DLI-GENAI-EXPLAINED,NVIDIA DLI,Generative AI Explained,https://learn.nvidia.com/courses/course-detail?course_id=course-v1:DLI+S-FX-07+V1,course,120,Free no-code intro to generative AI for those who want a gentler on-ramp. NVIDIA DLI.,"genai,intro,no-code","",beginner,true,en
MS-GENAI-FOR-BEGINNERS,Microsoft,Generative AI for Beginners,https://github.com/microsoft/generative-ai-for-beginners,course,1260,21 self-paced lessons on GitHub. Tokens prompting embeddings RAG fine-tuning and a beginner agent chapter. Free with code samples.,"genai,prompting,embeddings,rag,fine-tuning,microsoft","python",beginner,true,en
